Time,Cond.corr.mS.cm,Ct.mS.cm,Temp.deg.C
2024-07-15 14:10:24,0.06063357,0.04326644,10.67862
2024-07-15 14:10:26,0.06063357,0.04326644,10.67862
2024-07-15 14:10:28,0.06059946,0.04326644,10.6987
2024-07-15 14:10:30,0.06058242,0.04326644,10.70874
2024-07-15 14:10:32,0.06063357,0.04326644,10.67862
2024-07-15 14:10:34,0.06058242,0.04326644,10.70874
2024-07-15 14:10:36,0.06058602,0.04325685,10.6987
2024-07-15 14:10:38,0.06060302,0.04325685,10.68869
2024-07-15 14:10:40,0.06055196,0.04325685,10.71878
2024-07-15 14:10:42,0.06067129,0.04325685,10.64853
2024-07-15 14:10:44,0.06053853,0.04324725,10.71878
2024-07-15 14:10:46,0.06059233,0.04323808,10.6795
2024-07-15 14:10:48,0.06053768,0.04324767,10.71964
2024-07-15 14:10:50,0.06050361,0.04324767,10.73975
2024-07-15 14:10:52,0.06065323,0.04325718,10.65942
2024-07-15 14:10:54,0.06050361,0.04324767,10.73975
2024-07-15 14:10:56,0.06057168,0.04324767,10.69958
2024-07-15 14:10:58,0.06053768,0.04324767,10.71964
2024-07-15 14:11:00,0.06058872,0.04324767,10.68954
2024-07-15 14:11:02,0.06057168,0.04324767,10.69958
2024-07-15 14:11:04,0.06055465,0.04324767,10.70963
2024-07-15 14:11:06,0.06057168,0.04324767,10.69958
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
