Time,Cond.corr.mS.cm,Ct.mS.cm,Temp.deg.C
2024-08-18 10:04:24,0.06492493,0.0463347,10.68329
2024-08-18 10:04:26,0.06492895,0.04636361,10.70334
2024-08-18 10:04:28,0.06484257,0.04635397,10.74347
2024-08-18 10:04:30,0.06487902,0.04635397,10.72339
2024-08-18 10:04:32,0.06487902,0.04635397,10.72339
2024-08-18 10:04:34,0.06491545,0.04635397,10.70334
2024-08-18 10:04:36,0.06485605,0.04636361,10.74347
2024-08-18 10:04:38,0.06485605,0.04636361,10.74347
2024-08-18 10:04:40,0.06489251,0.04636361,10.72339
2024-08-18 10:04:42,0.06491069,0.04636361,10.71338
2024-08-18 10:04:44,0.06489251,0.04636361,10.72339
2024-08-18 10:04:46,0.06489251,0.04636361,10.72339
2024-08-18 10:04:48,0.06491069,0.04636361,10.71338
2024-08-18 10:04:50,0.06492418,0.04637324,10.71338
2024-08-18 10:04:52,0.06487346,0.04640206,10.76352
2024-08-18 10:04:54,0.06501773,0.04647907,10.74338
2024-08-18 10:04:56,0.06527085,0.04659456,10.69324
2024-08-18 10:04:58,0.06547673,0.04676783,10.71332
2024-08-18 10:05:00,0.0659757,0.04712422,10.71332
2024-08-18 10:05:02,0.06742273,0.04811717,10.6832
2024-08-18 10:05:04,0.06832746,0.0488314,10.73337
2024-08-18 10:05:06,0.07281078,0.05203548,10.73337
2024-08-18 10:05:08,0.07247145,0.05176391,10.71332
2024-08-18 10:05:10,0.0836836,0.05982269,10.74338
2024-08-18 10:05:12,0.09020846,0.06445092,10.72333
2024-08-18 10:05:14,0.1023281,0.07315105,10.74338
2024-08-18 10:05:16,0.09873725,0.07054447,10.72333
2024-08-18 10:05:18,0.1132792,0.08097963,10.74338
2024-08-18 10:05:20,0.1112034,0.07947347,10.73337
2024-08-18 10:05:22,0.1426423,0.1020277,10.76346
2024-08-18 10:05:24,0.1456703,0.1041058,10.73337
2024-08-18 10:05:26,0.1611114,0.115141,10.73337
2024-08-18 10:05:28,0.1577878,0.1127974,10.74338
2024-08-18 10:05:30,0.1580839,0.1129456,10.72333
2024-08-18 10:05:32,0.186084,0.1329508,10.72333
2024-08-18 10:05:34,0.1992583,0.1426033,10.78354
2024-08-18 10:05:36,0.1966715,0.1405152,10.72333
2024-08-18 10:05:38,0.2129048,0.1522416,10.75345
